# cmd: C:\Program Files\Python314\python.exe code\main.py --seed 103 --data-split-seed 42 --experiment-name seed_sweep_103 --skip-teapot-insertion --shiny-lpips-max-n 120
# cwd: C:\Users\Shanying Liu\documents\dlcg
Device: cuda
Seed: 103  Experiment: seed_sweep_103
Dataset splits: train=10500, val=2250, test=2250

============================================================
Training baseline model (resnet50)
============================================================

Epoch 1/50
  batch 10/329 | loss=0.4572 light=0.4572 mat=0.0000
  batch 20/329 | loss=0.4309 light=0.4309 mat=0.0000
  batch 30/329 | loss=0.2967 light=0.2967 mat=0.0000
  batch 40/329 | loss=0.2728 light=0.2728 mat=0.0000
  batch 50/329 | loss=0.2861 light=0.2861 mat=0.0000
  batch 60/329 | loss=0.2535 light=0.2535 mat=0.0000
  batch 70/329 | loss=0.1986 light=0.1986 mat=0.0000
  batch 80/329 | loss=0.2200 light=0.2200 mat=0.0000
  batch 90/329 | loss=0.2583 light=0.2583 mat=0.0000
  batch 100/329 | loss=0.2820 light=0.2820 mat=0.0000
  batch 110/329 | loss=0.1667 light=0.1667 mat=0.0000
  batch 120/329 | loss=0.2192 light=0.2192 mat=0.0000
  batch 130/329 | loss=0.3240 light=0.3240 mat=0.0000
  batch 140/329 | loss=0.3105 light=0.3105 mat=0.0000
  batch 150/329 | loss=0.1912 light=0.1912 mat=0.0000
  batch 160/329 | loss=0.2653 light=0.2653 mat=0.0000
  batch 170/329 | loss=0.2632 light=0.2632 mat=0.0000
  batch 180/329 | loss=0.2253 light=0.2253 mat=0.0000
  batch 190/329 | loss=0.1962 light=0.1962 mat=0.0000
  batch 200/329 | loss=0.2107 light=0.2107 mat=0.0000
  batch 210/329 | loss=0.2693 light=0.2693 mat=0.0000
  batch 220/329 | loss=0.2454 light=0.2454 mat=0.0000
  batch 230/329 | loss=0.1878 light=0.1878 mat=0.0000
  batch 240/329 | loss=0.2353 light=0.2353 mat=0.0000
  batch 250/329 | loss=0.2238 light=0.2238 mat=0.0000
  batch 260/329 | loss=0.1463 light=0.1463 mat=0.0000
