# cmd: C:\Program Files\Python314\python.exe code\main.py --seed 102 --data-split-seed 42 --experiment-name seed_sweep_film_102 --skip-teapot-insertion --shiny-lpips-max-n 120 --multitask-arch film
# cwd: C:\Users\Shanying Liu\Documents\DLCG
Device: cuda
Seed: 102  Experiment: seed_sweep_film_102
Dataset splits: train=10500, val=2250, test=2250

============================================================
Training baseline model (resnet50)
============================================================

Epoch 1/50
  batch 10/329 | loss=0.5198 light=0.5198 mat=0.0000
  batch 20/329 | loss=0.3161 light=0.3161 mat=0.0000
  batch 30/329 | loss=0.4148 light=0.4148 mat=0.0000
  batch 40/329 | loss=0.3121 light=0.3121 mat=0.0000
  batch 50/329 | loss=0.3381 light=0.3381 mat=0.0000
  batch 60/329 | loss=0.2991 light=0.2991 mat=0.0000
  batch 70/329 | loss=0.2765 light=0.2765 mat=0.0000
  batch 80/329 | loss=0.2173 light=0.2173 mat=0.0000
  batch 90/329 | loss=0.2403 light=0.2403 mat=0.0000
  batch 100/329 | loss=0.2619 light=0.2619 mat=0.0000
  batch 110/329 | loss=0.2371 light=0.2371 mat=0.0000
  batch 120/329 | loss=0.1899 light=0.1899 mat=0.0000
  batch 130/329 | loss=0.2593 light=0.2593 mat=0.0000
  batch 140/329 | loss=0.2783 light=0.2783 mat=0.0000
  batch 150/329 | loss=0.2196 light=0.2196 mat=0.0000
  batch 160/329 | loss=0.1918 light=0.1918 mat=0.0000
  batch 170/329 | loss=0.2363 light=0.2363 mat=0.0000
  batch 180/329 | loss=0.1753 light=0.1753 mat=0.0000
  batch 190/329 | loss=0.1792 light=0.1792 mat=0.0000
  batch 200/329 | loss=0.2229 light=0.2229 mat=0.0000
  batch 210/329 | loss=0.2029 light=0.2029 mat=0.0000
  batch 220/329 | loss=0.1896 light=0.1896 mat=0.0000
  batch 230/329 | loss=0.2133 light=0.2133 mat=0.0000
  batch 240/329 | loss=0.2037 light=0.2037 mat=0.0000
  batch 250/329 | loss=0.2256 light=0.2256 mat=0.0000
  batch 260/329 | loss=0.1468 light=0.1468 mat=0.0000
  batch 270/329 | loss=0.1723 light=0.1723 mat=0.0000
  batch 280/329 | loss=0.2506 light=0.2506 mat=0.0000
  batch 290/329 | loss=0.2045 light=0.2045 mat=0.0000
  batch 300/329 | loss=0.1737 light=0.1737 mat=0.0000
  batch 310/329 | loss=0.1722 light=0.1722 mat=0.0000
  batch 320/329 | loss=0.2593 light=0.2593 mat=0.0000
  train | loss=0.2516 light=0.2516 mat=0.0000
  val   | loss=0.2141 light=0.2141 mat=0.0000
  -> new best model (val_loss=0.2141)

Epoch 2/50
  batch 10/329 | loss=0.2123 light=0.2123 mat=0.0000
  batch 20/329 | loss=0.2238 light=0.2238 mat=0.0000
  batch 30/329 | loss=0.2189 light=0.2189 mat=0.0000
  batch 40/329 | loss=0.2100 light=0.2100 mat=0.0000
  batch 50/329 | loss=0.2263 light=0.2263 mat=0.0000
  batch 60/329 | loss=0.1394 light=0.1394 mat=0.0000
  batch 70/329 | loss=0.1988 light=0.1988 mat=0.0000
  batch 80/329 | loss=0.3199 light=0.3199 mat=0.0000
  batch 90/329 | loss=0.1996 light=0.1996 mat=0.0000
  batch 100/329 | loss=0.2111 light=0.2111 mat=0.0000
  batch 110/329 | loss=0.2140 light=0.2140 mat=0.0000
  batch 120/329 | loss=0.1694 light=0.1694 mat=0.0000
  batch 130/329 | loss=0.1894 light=0.1894 mat=0.0000
  batch 140/329 | loss=0.1599 light=0.1599 mat=0.0000
  batch 150/329 | loss=0.1365 light=0.1365 mat=0.0000
  batch 160/329 | loss=0.1875 light=0.1875 mat=0.0000
  batch 170/329 | loss=0.2879 light=0.2879 mat=0.0000
  batch 180/329 | loss=0.1907 light=0.1907 mat=0.0000
  batch 190/329 | loss=0.1944 light=0.1944 mat=0.0000
  batch 200/329 | loss=0.1649 light=0.1649 mat=0.0000
  batch 210/329 | loss=0.2277 light=0.2277 mat=0.0000
  batch 220/329 | loss=0.2159 light=0.2159 mat=0.0000
  batch 230/329 | loss=0.1569 light=0.1569 mat=0.0000
  batch 240/329 | loss=0.3428 light=0.3428 mat=0.0000
  batch 250/329 | loss=0.2519 light=0.2519 mat=0.0000
  batch 260/329 | loss=0.2027 light=0.2027 mat=0.0000
  batch 270/329 | loss=0.1553 light=0.1553 mat=0.0000
  batch 280/329 | loss=0.1621 light=0.1621 mat=0.0000
  batch 290/329 | loss=0.2619 light=0.2619 mat=0.0000
  batch 300/329 | loss=0.2396 light=0.2396 mat=0.0000
  batch 310/329 | loss=0.1961 light=0.1961 mat=0.0000
  batch 320/329 | loss=0.1856 light=0.1856 mat=0.0000
  train | loss=0.2048 light=0.2048 mat=0.0000
  val   | loss=0.1960 light=0.1960 mat=0.0000
  -> new best model (val_loss=0.1960)

Epoch 3/50
  batch 10/329 | loss=0.1855 light=0.1855 mat=0.0000
  batch 20/329 | loss=0.1769 light=0.1769 mat=0.0000
  batch 30/329 | loss=0.1931 light=0.1931 mat=0.0000
  batch 40/329 | loss=0.1676 light=0.1676 mat=0.0000
  batch 50/329 | loss=0.1447 light=0.1447 mat=0.0000
  batch 60/329 | loss=0.2114 light=0.2114 mat=0.0000
  batch 70/329 | loss=0.1451 light=0.1451 mat=0.0000
  batch 80/329 | loss=0.1731 light=0.1731 mat=0.0000
  batch 90/329 | loss=0.1272 light=0.1272 mat=0.0000
  batch 100/329 | loss=0.2428 light=0.2428 mat=0.0000
  batch 110/329 | loss=0.1949 light=0.1949 mat=0.0000
  batch 120/329 | loss=0.1942 light=0.1942 mat=0.0000
  batch 130/329 | loss=0.1946 light=0.1946 mat=0.0000
  batch 140/329 | loss=0.2610 light=0.2610 mat=0.0000
  batch 150/329 | loss=0.2114 light=0.2114 mat=0.0000
  batch 160/329 | loss=0.1746 light=0.1746 mat=0.0000
  batch 170/329 | loss=0.2154 light=0.2154 mat=0.0000
  batch 180/329 | loss=0.2050 light=0.2050 mat=0.0000
  batch 190/329 | loss=0.1634 light=0.1634 mat=0.0000
  batch 200/329 | loss=0.1664 light=0.1664 mat=0.0000
  batch 210/329 | loss=0.2060 light=0.2060 mat=0.0000
  batch 220/329 | loss=0.1852 light=0.1852 mat=0.0000
  batch 230/329 | loss=0.1770 light=0.1770 mat=0.0000
  batch 240/329 | loss=0.2950 light=0.2950 mat=0.0000
  batch 250/329 | loss=0.2386 light=0.2386 mat=0.0000
  batch 260/329 | loss=0.2516 light=0.2516 mat=0.0000
  batch 270/329 | loss=0.2006 light=0.2006 mat=0.0000
  batch 280/329 | loss=0.2453 light=0.2453 mat=0.0000
  batch 290/329 | loss=0.1251 light=0.1251 mat=0.0000
  batch 300/329 | loss=0.2140 light=0.2140 mat=0.0000
  batch 310/329 | loss=0.1498 light=0.1498 mat=0.0000
  batch 320/329 | loss=0.1615 light=0.1615 mat=0.0000
  train | loss=0.1845 light=0.1845 mat=0.0000
  val   | loss=0.1889 light=0.1889 mat=0.0000
  -> new best model (val_loss=0.1889)

Epoch 4/50
  batch 10/329 | loss=0.2009 light=0.2009 mat=0.0000
  batch 20/329 | loss=0.1604 light=0.1604 mat=0.0000
  batch 30/329 | loss=0.1698 light=0.1698 mat=0.0000
  batch 40/329 | loss=0.1802 light=0.1802 mat=0.0000
